"","text"
"153","  terus ga bikin rusuh lampu merah
coba dia ke lampu merah deket prambanan gimana coba "
"154","    
what is the recommendation place for doyoung

i would recommend to doyoung namely labuan bajo and candi prambanan"
"155","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"156"," kebun apel museum angkot trans studio bandung malioboro candi prambanan candi borobudur monas "
"157"," mampir ke prambanan bpk kalau ke jogja lagi"
"158","anggota unit sabhara polsek prambanan sleman dipimpin panit sabhara ipda hendra pada hari selasa  jam  "
"159","anggota unit sabhara polsek prambanan sleman dipimpin panit sabhara ipda hendra pada hari selasa  jam  "
"160","anggota unit sabhara polsek prambanan sleman dipimpin panit sabhara ipda hendra pada hari senin  jam  "
"161","agnes monica mengalami gejala keracunan hoax akibatnya pandangannya kabur saat melihat borobudur jadi prambanan p"
"162"," gua tuh lupa ini prambanan jazz online apa offline ya wkwk  banyak banget konser begituan dah nonton apa aja"
"163","  based on true story

rumah bekas aborsi dan pembunuhan

mbak puji prambananjawatengah

  "
"164","  siapa sih yang nggak tau prambanan jazz nah di putcast kali ini kepala suku mojok ngobrol bareng anas syahrul alimi sos"
"165","  prambanan 
hawane ngajak gmn gitu
wkwkwkkw"
"166"," mangsude pasar prambanan misih banyak yang juwalan apa ndakmalah diperjelas"
"167","  based on true story

rumah bekas aborsi dan pembunuhan

mbak puji prambananjawatengah

  "
"168"," museum gembira loka
museum dirgantara
keraton
candi prambanan
candi borobudur 
parangtritis
malioboro "
"169","prambanan 
hawane ngajak gmn gitu
wkwkwkkw"
"170","voyage asie indonésie java "
"171","butuh joki tugas iot sambung firebase android sama esp mode candi prambanan"
"172","prambanan tapna endonezya "
"173"," bandung area  gedung sate museum geologi bosscha

luar bandung area tp masih sekitar jakartajabar "
"174"," klaten aja sih janjiannya di beringin candi prambanan"
"175","candi borobudur candi prambanan goa jepang goa belanda "
"176","karena aku narsis aku mau tambahin ini wkwk i dont look my best tapi aku sangat suka view candi prambanan di bac "
"177"," mmf salfok prambanan "
"178","aku kalo liat itu sama marahnya kaya liat orang buang sakpah sembarangan di borobudurprambanan orang naik stupa "
"179","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"180"," kota tua monas lubang buaya sritex borobudur prambanan malioboro pantai kuta tanah lot museum"
"181","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"182"," pabrik teh
monas
tangkuban parahu
floating market
farm house
trans studio
malioboro
tanah lot
pantai "
"183"," cimory borobudur dieng prambanan bosscha keraton jogja ketep pass"
"184"," tmii mekarsari pantai anyer pantai kuta tanah lot bedugul gwk candi borobudur amp prambanan mus "
"185"," candi prambanan"
"186","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"187"," bosscha museum geologi museum bi borobudur prambanan lava tour merapi"
"188"," taman mekarsari kidzania planetarium museum borobudur aussie bali jogja lombok taman safari "
"189","orang kalo study tour pasti ke candi borobudur tp waktu smp malah ke kubah mas sama dufan sma ke bromo jatim par "
"190"," candi prambanan"
"191"," candi prambanan"
"192"," 
q what is the recommendation place for doyoung
 kebon ndalem its a coffe shop but has a nice view wat "
"193","borobudur malioboro monjali prambanan

dahh itu itu terus ampe bosen "
"194","  i am from the sanatan era 
prambanan temple indonesia "
"195","  i am from the sanatan era 
prambanan temple indonesia "
"196","  prambanan"
"197","kalian kangen kita enggak
malioboro gudeg bakpia beringharjo prambanan parangtritis angkringan kopi joss b "
"198","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"199","   recommend place for doyoung of course ill recommend this place for him and certainly places in indonesia theres raja a"
"200","    
what is the recommendation place for doyoung

i would recommend to doyoung namely labuan bajo and candi prambanan"
"201","  sy tdk tau jika rumah ini bekas aborsi dan pembunuhan mbak tau begini saya mending stay dijogja saja
mbak puji  pram"
"202","rute puter prambanan maguwo"
"203","day 

what is the recommendation place for doyoung

i would recommend prambanan temple "
"204","  disewakan rumah jl prambanan menteng jakarta pusat
lt  m
lb m   lantai
lintrik  air pam
 kt  km "
"205"," prambanan boleh nder"
"206","  siapa sih yang nggak tau prambanan jazz nah di putcast kali ini kepala suku mojok ngobrol bareng anas syahrul alimi sos"
"207"," apakah 
bisa
kirim
pizza
ke 
prambanan
dengan 
cumacumaaaarghhhhhh"
"208"," udah masuk prambanan ga sih"
"209","  see you again and i will return to jog ini the prambanan temple area after the holy month ramadhan and eid alfitr htt"
"210","  tempat yang sejuk untuk nyantai berkumpul dengan keluarga dan kekasih sekitarnya dikeliling sawah sisi timur dengan candi pram"
"211","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"212","wwkwkwkkwkwwk edyan kalo aku jadi pacarmu aku langsung minta prambanan "
"213","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"214","  based on true story

rumah bekas aborsi dan pembunuhan

mbak puji prambananjawatengah

  "
"215","malu banget dulu awal pertama ke jogja jg punya mental terjajah lht bule di prambanan pgn foto bareng 

dan yg m "
"216","sinau mbek mas  lan mas  

anas syahrul alimi sosok di balik prambanan jazz dan jogjarocka "
"217","  kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"218","  kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"219","  kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"220","  kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"221","  kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"222","  kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"223","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"224","kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"225","kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"226","kegiatan hari ini patching pada ruas jalan bts kota klatenprambanan kmska  jalancantik jatenggayeng "
"227","i miss prambanan lt "
"228","  how was the idea to create this project born it is very interesting what do you want "
"229","  crypto talkz will host ama with konomi on th january    pm utc

rewards pool   usdt 

venue  "
"230","  privacy and security are key in making investments well how does konomi guarantee th "
"231","  kayanya harus di ruqiyah depan prambanan sih el wkwk"
"232"," hari ini nontonin prambanan jazz di youtube dah lama juga ya ga konseran "
"233"," makanya wkwk bayangin to waktu ospek dulu aku tanyain kamu dr prambanan ver dan dia blg iya dan it "
"234","disewakan rumah jl prambanan menteng jakarta pusat
lt  m
lb m   lantai
lintrik  air pam
 kt  k "
"235","agnes monica mengalami gejala keracunan hoax akibatnya pandangannya kabur saat melihat borobudur jadi prambanan p"
"236"," candi prambanan d"
"237"," saluti here is your unroll based on true story rumah bekas aborsi dan pembunuhan mbak puji pram "
"238","jelajah wisata jogja   yuk jelajah tempat wisata jogja ini  photo today by  taken at candi prambanan sleman "
"239"," iyakan hindu dan budha bikin candi prambanan dan candi borobudurlah mrk bikin gbr kon  "
"240","  wadu dereng tau ketemu klitihe prambanan iki sendere"
"241","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"242","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"243","   info lur prambanan deres"
"244","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"245"," info lur prambanan deres"
"246","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"247","salah satu wishlist dalam hidup bisa nonton prambanan jazz festival "
"248","   





"
"249"," 




 "
"250","    sini kak saya bantu bisikin info valid 

prambanan sendiri merupakan simbol persatuan tanah"
"251","    
what is the recommendation place for doyoung

i would recommend to doyoung namely labuan bajo and candi prambanan"
"252","gue makan dulu dll akhirnya balik ke solo tuh jam set  dari jogja lo tau jalan prambanan tuh jam segitu udh gela "
"253","  siapa sih yang nggak tau prambanan jazz nah di putcast kali ini kepala suku mojok ngobrol bareng anas syahrul alimi sos"
"254","  siapa sih yang nggak tau prambanan jazz nah di putcast kali ini kepala suku mojok ngobrol bareng anas syahrul alimi sos"
"255","   tolong min listrik padam travo meledak di gambrengan   rw  kokosan prambanan klaten"
"256"," tolong min listrik padam travo meledak di gambrengan   rw  kokosan prambanan klaten"
"257","anggota unit sabhara polsek prambanan sleman dipimpin panit sabhara iptu sudardi senin  jam  wib g "
"258","  siapa sih yang nggak tau prambanan jazz nah di putcast kali ini kepala suku mojok ngobrol bareng anas syahrul alimi sos"
"259","siapa sih yang nggak tau prambanan jazz nah di putcast kali ini kepala suku mojok ngobrol bareng anas syahrul al "
"260","  sy tdk tau jika rumah ini bekas aborsi dan pembunuhan mbak tau begini saya mending stay dijogja saja
mbak puji  pram"
"261","  based on true story

rumah bekas aborsi dan pembunuhan

mbak puji prambananjawatengah

  "
"262"," setauku prambanan"
"263","anggota unit sabhara polsek prambanan sleman dipimpin panit sabhara iptu sudardi pada hari senin  jam  "
"264","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"265","anggota unit sabhara polsek prambanan sleman dipimpin panit sabhara iptu sudardi pada hari senin  jam  "
"266","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"267","kanit intel polsek prambanan sleman akp slamet dan ps panit binmas aiptu parjiyati pada hari senin  jam "
"268","  dulu pernah ke candi prambanan ada  keluarga bule yg lagi liburan terus ada org lok "
"269","anggota unit lantas dan unit sabhara polsek prambanan sleman senin  jam  wib laksanakan pengaturan "
"270","  start prambanan "
"271","dsini juga ada bus tujuan prambanan  "
"272"," sembuh berjumlah 

ket
secara akumulasi sembuh bertambah  yaitu 

bertambah 
 prambanan
 tempel "
"273","ket
secara akumulasi total konfirmasi bertambah  yaitu 

bertambah 
 minggir riwayat belum ada keteranga "
"274","   wib situasi lalin di simpang prambanan terpantau lancar dan cuaca saat ini hujan "
"275","   asli norak banget orang knapa yaaakkk ak pernah smpe liat ibu minta foto sm bule di candi prambanan eh ditolak mu"
"276","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"277","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"278","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"279","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"280"," wib situasi lalin di simpang prambanan terpantau lancar dan cuaca saat ini hujan "
"281","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"282","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"283","  based on true story

rumah bekas aborsi dan pembunuhan

mbak puji prambananjawatengah

  "
"284","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"285","open bo prambanan 
bispakjogja 
jogjabirahi 
openbooking 
cewekbookingan 
kimciljogja 
jogjaincluderoom "
"286","  based on true story

rumah bekas aborsi dan pembunuhan

mbak puji prambananjawatengah

  "
"287","nyari sponsor udah kayak bangun candi prambanan aja "
"288"," replika prambanan"
"289","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"290","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"291","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"292","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"293","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"294","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"295","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"296","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"297","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"298","prambanan sepi banget "
"299","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"300","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"301","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"302","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"303","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"304","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"305","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"306","    

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge
nctdoyoung"
"307","  

 yogyakarta esp malioboro prambanan temple andd borobudur temple


dydayschallenge "
"308","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"309"," kak mau ke prambanan kak "
"310","arek lanang gak mandang fisik candi prambanan tak pindah saiki"
"311","  i am from the sanatan era 
prambanan temple indonesia "
"312"," prambanan di sebuah sawah wkwkwk"
"313","nostalgia prambanan jazz
"
"314"," iya sama sama
soalnya di daerah ku banyak ditemukan candi gitu dan buat peninggalan bukan jd tempa "
"315","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"316","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"317","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"318","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"319","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"320","  menikmati sejuknya alam di pagi sampai siang hari dengan view perkotaan sampai alam 

kami buka dari pukul  pagi sampai "
"321","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"322","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"323","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"324","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"325","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"326","anggota unit sabhara polsek prambanan sleman pada hari minggu  jam  wib giat patroli gabungan rayon "
"327","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"328","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"329","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
"330","  gegara turis usa di bali jadi inget pas ke prambananborobudur sebagai wna ya sadar diri antri di loket foreigners no n"
